Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
Corporativo - Agibank,ANALISTA DE PLANEJAMENTO DE VENDAS PLENO | ENFASE EM DADOS  (HIBRIDO CAMPINAS/SP),Campinas - SP,14/08/2023,Efetivo,Presencial
Mutant,Engenheiro de Dados Senior,Sao Paulo - SP,11/08/2023,Efetivo,Remoto
Barcelos,ASSISTENTE DE INTELIGENCIA DE DADOS/ CAMPOS DOS GOYTACAZES,Campos dos... - RJ,11/08/2023,Efetivo,Presencial
Mutant,Engenheiro de Dados Pleno,Sao Paulo - SP,11/08/2023,Efetivo,Remoto
"Vagas, empregos, oportunidades",Cientista de Dados - Vaga Afirmativa para Mulheres,Joinville - SC,11/08/2023,Efetivo,Remoto
YDUQS - Vagas Tech,ANALISTA DE GOVERNANCA DE DADOS JUNIOR,Rio de Jan... - RJ,11/08/2023,Efetivo,Presencial
Venha fazer parte da revolucao da logistica e mobilidade no mundo!,Estagio em Engenharia de Dados,Joinville - SC,11/08/2023,Estagio,Presencial
YDUQS - Vagas Tech,PESSOA  ASSISTENTE DE ANALISE DE DADOS,Rio de Jan... - RJ,11/08/2023,Efetivo,Presencial
Neogrid Carreiras,Estagiario Governanca de Dados,Sao Paulo - SP,11/08/2023,Estagio,Remoto
Sumicity,Analista de dados Pleno,Sao Paulo - SP,11/08/2023,Efetivo,Remoto
KOVI ,Analista de Operacoes Pleno (dados) - zona sul de Sao Paulo/SP,Sao Paulo - SP,11/08/2023,Efetivo,Presencial
NAVA | Technology for Business,Pessoa Engenheira de Dados,Sao Paulo - SP,11/08/2023,Efetivo,Presencial
Alpargatas,Fabrica Santa Rita (F26) - Analista de Dados Tecnicos Senior,Santa Rita - PB,11/08/2023,Efetivo,Presencial
Cielo,Estagio em Analise de Dados - ESG | Vaga Afirmativa para Mulheres Negras,Barueri - SP,11/08/2023,Estagio,Presencial
Pagina de Carreiras da Netbr,"Analista Senior de Seguranca da Informacao, Protecao de dados e Suporte Interno",Sao Paulo - SP,11/08/2023,Efetivo,Presencial
Datum TI,Pessoa Engenheira de Dados Senior,Porto Alegre - RS,11/08/2023,Efetivo,Remoto
Looqbox,Analista de Dados Pleno (Python Developer - Remoto),Sao Paulo - SP,11/08/2023,Pessoa Juridica,Remoto
Trademaster,Product Owner Senior - Dados (Hibrido),Sao Paulo - SP,11/08/2023,Efetivo,Presencial
The Bridge Vagas,"Engenheiro de Dados Sr - Florianopolis, SC - Modelo Hibrido",Florianopolis - SC,11/08/2023,Efetivo,Presencial
Vagas Peers,Data Engineer (Engenheiro de Dados),Sao Paulo - SP,10/08/2023,Efetivo,Presencial
Lojas Renner,Pessoa Engenheira de Dados,Porto Alegre - RS,10/08/2023,Efetivo,Presencial
Grupo SEB,Analista de Privacidade de Dados Jr,Ribeirao P... - SP,10/08/2023,Efetivo,Presencial
Stefanini Group,MODELAGEM DE DADOS - AD,Brasilia - DF,10/08/2023,Efetivo,Remoto
Votorantim Cimentos - Futuros Talentos,Estagiaria/ Estagiario em Dados,Curitiba - PR,10/08/2023,Estagio,Presencial
AllowMe,Cientista de dados,Recife - PE,10/08/2023,Efetivo,Presencial
GLOBAL HITSS,12828-Analista de Dados Digitais,Sao Paulo - SP,10/08/2023,Efetivo,Presencial
Aliare,Estagio Suporte - Banco de Dados e Servicos,Rio Verde - GO,10/08/2023,Estagio,Presencial
YDUQS,PESSOA ANALISTA DE OPERACOES PLENO (MODELAGEM DE DADOS),Rio de Jan... - RJ,10/08/2023,Efetivo,Presencial
Seja Globalweb,ANALISTA DE BANCO DE DADOS SR,Brasilia - DF,10/08/2023,Efetivo,Presencial
Seja Globalweb,ANALISTA DE BANCO DE DADOS SR,Fortaleza - CE,10/08/2023,Efetivo,Presencial
Seja Globalweb,ANALISTA DE BANCO DE DADOS PL,Brasilia - DF,10/08/2023,Efetivo,Presencial
JDC Tech,Administrador de Banco de Dados Oracle,Belo Horiz... - MG,09/08/2023,Efetivo,Remoto
Tech Sicredi,Analista de Dados - Foco em Precificacao de Credito,Porto Alegre - RS,09/08/2023,Efetivo,Remoto
JDC Tech,Engenheiro de Dados,Nao informado,09/08/2023,Efetivo,Remoto
Poliedro Educacao,Analista de Dados Senior,Sao Jose d... - SP,09/08/2023,Efetivo,Remoto
Tech Sicredi,Cientista de Dados -  Foco Concessao de Credito,Porto Alegre - RS,09/08/2023,Efetivo,Remoto
https://www.linkedin.com/company/boston-metal-do-brasil/?viewAsMember=true,Analista de Dados,Sao Joao D... - MG,09/08/2023,Efetivo,Presencial
Cogna Educacao,ANALISTA DE DADOS SR,Sao Paulo - SP,09/08/2023,Efetivo,Presencial
Porto,Analista de Inteligencia de Dados Senior,Sao Paulo - SP,09/08/2023,Efetivo,Presencial
MTP Metodos e Tecnologia - Brasil,553 - Analista de Dados Pleno,Sao Paulo - SP,09/08/2023,Efetivo,Presencial
Strada,Engenheiro(a) de Dados Senior,Sao Paulo - SP,09/08/2023,Efetivo,Presencial
Confidencial,Engenheiro de Dados,Rio de Jan... - RJ,09/08/2023,Efetivo,Presencial
Minsait an Indra Company,Pessoa Engenheira de Dados Senior,Goiania - GO,09/08/2023,Efetivo,Presencial
Kangu,Analista de Dados PL,Osasco - SP,09/08/2023,Efetivo,Presencial
Serede,TECNICO DADOS I - SAO PAULO,Sao Paulo - SP,09/08/2023,Efetivo,Presencial
GAVB,Pessoa Engenheira de dados - [Especialista I - Tec],Nao informado,09/08/2023,Efetivo,Remoto
Faca parte do time Mercantil,Assistente de Dados - RH,Belo Horiz... - MG,09/08/2023,Efetivo,Presencial
EXA,Engenheiro(a) de Dados,Sao Paulo - SP,09/08/2023,Efetivo,Presencial
EtheriumTech - Cloud & Data Center,Administrador de Banco de Dados - DBA,Barueri - SP,09/08/2023,Associado,Presencial
Afya,AFYA SP | Pessoa Estagiaria em Ciencias de Dados - Vaga afirmativa para Pessoas com Deficiencia (PCD),Sao Paulo - SP,08/08/2023,Estagio,Remoto
Seja Globalweb,ANALISTA DE BANCO DE DADOS SR,Fortaleza - CE,08/08/2023,Efetivo,Presencial
SindiLojas Porto Alegre,Analista de Dados - Economista,Porto Alegre - RS,08/08/2023,Efetivo,Presencial
Vetta Tecnologia,Analista de Dados - Senior,Belo Horiz... - MG,08/08/2023,Efetivo,Remoto
Confidencial,Administrador Banco de Dados Pl.,Sao Jose d... - SP,08/08/2023,Efetivo,Remoto
V.tal | o futuro passa por aqui,Engenheiro de Dados I,Sao Paulo - SP,08/08/2023,Efetivo,Presencial
Itau Unibanco,Carreiras de Dados   Exclusiva para Profissionais com Deficiencia,Sao Paulo - SP,08/08/2023,Efetivo,Presencial
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS,Nao informado,08/08/2023,Efetivo,Remoto
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS,Nao informado,08/08/2023,Efetivo,Remoto
Bridge & Co.,Analista de Dados Pleno/Senior (BI),Rio de Jan... - RJ,08/08/2023,Efetivo,Presencial
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS,Nao informado,08/08/2023,Efetivo,Remoto
KOVR,Analista de Dados Pleno,Sao Paulo - SP,08/08/2023,Efetivo,Presencial
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS,Nao informado,08/08/2023,Efetivo,Remoto
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS,Nao informado,08/08/2023,Efetivo,Remoto
CTC,Administrador de Banco de Dados (Remoto),Rio de Jan... - RJ,08/08/2023,Efetivo,Remoto
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS,Nao informado,08/08/2023,Efetivo,Remoto
Lojas Renner,Analista de Dados | Insights de Negocios,Sao Paulo - SP,08/08/2023,Efetivo,Presencial
JDC Tech,Engenheiro de Dados Senior,Nao informado,08/08/2023,Pessoa Juridica,Remoto
will bank,Pessoa Engenheira de Dados Especialista,Sao Paulo - SP,07/08/2023,Efetivo,Remoto
YDUQS - Vagas Tech,PESSOA ESPECIALISTA (ENGENHEIRO DE DADOS),Rio de Jan... - RJ,07/08/2023,Efetivo,Presencial
