Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
Viveo,Analista de BI Junior | Mafra Saude,Sao Paulo - SP,21/07/2023,Efetivo,Presencial
Programa de Estagio Bagaggio 2023,Estagiario de BI,Rio de Jan... - RJ,19/07/2023,Estagio,Presencial
Level Group,Desenvolvedor de BI Pleno,Sao Paulo - SP,19/07/2023,Efetivo,Presencial
Level Group,Analista de BI JR,Sao Paulo - SP,19/07/2023,Efetivo,Presencial
Unidades V4 Company,Analista de BI | Dados | V4 + Verderosi&CO,Sao Carlos - SP,18/07/2023,Pessoa Juridica,Presencial
Engeform,Estagiario em Business Intelligence (BI) - Tecnologia da Informacao,Sao Paulo - SP,17/07/2023,Estagio,Presencial
Engeform,Analista de Business Intelligence (BI) Jr. - Tecnologia da Informacao,Sao Paulo - SP,17/07/2023,Efetivo,Presencial
JBS,JBS - Analista de BI Senior,Sao Paulo - SP,17/07/2023,Efetivo,Presencial
Coca-Cola Andina Brasil,MOTORISTA BI-TREM - RIBP,Ribeirao P... - SP,14/07/2023,Efetivo,Presencial
Minsait an Indra Company,Pessoa Analista BI,Sao Paulo - SP,14/07/2023,Efetivo,Presencial
Stefanini Group,Analista BI Pleno,Santana - SP,12/07/2023,Efetivo,Presencial
Zallpy Digital,Analista de Dados/BI JUNIOR - Hibrido (POA ou RJ),Porto Alegre - RS,12/07/2023,Efetivo,Presencial
Unidas,Analista BI SR,Belo Horiz... - MG,07/07/2023,Efetivo,Remoto
Nordica,Estagio - BI,Sao Paulo - SP,06/07/2023,Estagio,Remoto
wmtrading,Estagiario de Power BI - Vitoria/ES,Vitoria - ES,06/07/2023,Estagio,Presencial
Attivo Group,Analista de BI PL,Sao Paulo - SP,06/07/2023,Efetivo,Presencial
GLOBAL HITSS,11619-Analista de Dados (BI),Campinas - SP,06/07/2023,Efetivo,Presencial
JBS,Analista de BI/Dados - Senior/Especialista,Sao Paulo - SP,06/07/2023,Efetivo,Presencial
Stormx,Analista de BI,Sao Paulo - SP,05/07/2023,Pessoa Juridica,Remoto
Stefanini Group,BI Sr,Sao Paulo - SP,05/07/2023,Efetivo,Presencial
Nelogica,Estagio em BI - People Analytics,Porto Alegre - RS,30/06/2023,Estagio,Presencial
Leega Consultoria,Analista BI Senior - Modelagem DW [AWS],Sao Paulo - SP,29/06/2023,Efetivo,Remoto
Sabion Digital,Analista BI Junior - Foco em Redes Sociais,Nao informado,29/06/2023,Efetivo,Remoto
Stefanini Group,Supervisor de BI,Sao Paulo - SP,29/06/2023,Efetivo,Remoto
Vivaz Vendas,Analista de Business Intelligence Pl. (BI),Sao Paulo - SP,28/06/2023,Efetivo,Presencial
Unidades V4 Company,Analista de BI + Junior,Passo Fundo - RS,22/06/2023,Pessoa Juridica,Presencial
Confidencial,Analista de Desenvolvedor BI,Recife - PE,22/06/2023,Efetivo,Presencial
Votorantim Cimentos,Analista Power BI Senior,Sao Paulo - SP,20/06/2023,Efetivo,Presencial
Itau Unibanco,Analista Senior de Business Intelligence (BI) e Dados - CONSORCIO,Sao Paulo - SP,16/06/2023,Efetivo,Presencial
Grupo Panvel,Estagio - Business Intelligence (BI),Eldorado d... - RS,16/06/2023,Estagio,Presencial
M.A. Maquinas Agricolas LTDA,Analista de BI - Corporativo,Cascavel - PR,15/06/2023,Efetivo,Presencial
J&T Express Brasil,Analista de dados (BI) Sr.,Sao Paulo - SP,14/06/2023,Efetivo,Presencial
Unidades V4 Company,Analista de BI em V4 Company,Jundiai - SP,13/06/2023,Pessoa Juridica,Presencial
7Stars Ventures,Analista de BI,Ribeirao P... - SP,13/06/2023,Pessoa Juridica,Presencial
caedu,Analista BI,Sao Paulo - SP,13/06/2023,Efetivo,Presencial
Aegea Saneamento,"Especialista de TI - Processos e sistemas de BI, Data / Analytics e SAP",Sao Paulo - SP,09/06/2023,Efetivo,Presencial
Villela Brasil Bank | Gestao de Carreiras,Analista de BI - Junior,Porto Alegre - RS,06/06/2023,Efetivo,Presencial
Grupo ITG,Consultor BI/Analytics,Sao Paulo - SP,05/06/2023,Efetivo,Remoto
Grupo Bamaq | Paixao pelo que Fazemos,Analista BI PL (Business Intelligence)  - Grupo Bamaq - Contagem (hibrido),Contagem - MG,05/06/2023,Efetivo,Presencial
GAV Resorts,Analista de BI,Goiania  - GO,01/06/2023,Efetivo,Presencial
Unidades V4 Company,Analista de BI- V4 Bessa & Associados,Nao informado,01/06/2023,Pessoa Juridica,Presencial
CSN - Companhia Siderurgica Nacional,"Especialista de TI - Processos e sistemas de BI, Data/Analytics e Planejamento - Tecnologias SAP",Sao Paulo - SP,01/06/2023,Efetivo,Presencial
Unidades V4 Company,Analista de Dados com Power BI,Nao informado,31/05/2023,Pessoa Juridica,Remoto
Universidade Cruzeiro do Sul,ESPECIALISTA BI,Sao Paulo - SP,29/05/2023,Efetivo,Presencial
Grupo Bamaq | Paixao pelo que Fazemos,Analista BI Senior (Business Intelligence)  - Grupo Bamaq - Contagem (hibrido),Contagem - MG,26/05/2023,Efetivo,Presencial
Lojas Torra,COORDENADOR DE BI,Sao Paulo - SP,22/05/2023,Efetivo,Presencial
Grupo NC,Especialista em BI,Hortolandia - SP,22/05/2023,Efetivo,Presencial
CTC,Especialista BI Analytics (Rio de Janeiro/RJ),Rio de Jan... - RJ,15/05/2023,Pessoa Juridica,Presencial
Grupo Bamaq | Paixao pelo que Fazemos,Analista BI (Business Intelligence) - Grupo Bamaq - Contagem (hibrida),Contagem - MG,15/05/2023,Efetivo,Remoto
Hypera Pharma,PESSOA ANALISTA BI SENIOR,Sao Paulo - SP,12/05/2023,Efetivo,Presencial
Unidades V4 Company,Gestor de Trafego | POWER BI,Manhuacu - MG,05/05/2023,Pessoa Juridica,Remoto
BIOTRONIK,Especialista de BI,Sao Paulo - SP,28/04/2023,Efetivo,Presencial
J&T Express Brasil,Analista de dados (BI) Sr.,Sao Paulo - SP,27/04/2023,Efetivo,Presencial
IPEL - Indaial Papel,ANALISTA DE BI SENIOR,Indaial - SC,27/04/2023,Efetivo,Presencial
Vem mobilizar sonhos com a gente!,Pricing & BI Chief,Nao informado,26/04/2023,Efetivo,Presencial
J&T Express Brasil,Analista de dados (BI) Jr,Ribeirao P... - SP,25/04/2023,Efetivo,Presencial
4MK Solutions,Analista BI Analytics Senior (Remoto),Barueri - SP,20/04/2023,Banco de Talentos,Remoto
Page Outsourcing Colombia,SLB- SAP BI/HANA Analyst-  COLOMBIA,Nao informado,03/04/2023,Efetivo,Presencial
4MK Solutions,Analista de BI Senior (Banco de Talentos),Barueri - SP,24/03/2023,Banco de Talentos,Remoto
Stefanini Group,Analista de BI,Sao Paulo - SP,21/03/2023,Efetivo,Presencial
Page Outsoucing,Analista de BI,Nao informado,17/03/2023,Efetivo,Remoto
Unidas,Analista BI SR,Sao Paulo - SP,16/03/2023,Efetivo,Remoto
Unidades V4 Company,Analista de BI | Pleno,Balneario ... - SC,02/03/2023,Pessoa Juridica,Remoto
Stefanini Group,Analista de BI Sr,Brasilia - DF,06/02/2023,Efetivo,Remoto
SMARTBREEDER - trabalhe conosco,Estagio Agronomico em BI - Presencial em Piracicaba,Piracicaba - SP,30/01/2023,Estagio,Presencial
Stormx,Banco de Talentos de BI,Sao Paulo - SP,05/01/2023,Banco de Talentos,Presencial
J&T Express Brasil,Analista de dados (BI),Belo Horiz... - MG,25/11/2022,Efetivo,Presencial
Performa Web: Agencia de Marketing Digital,Analista de BI Jr,Sao Paulo - SP,27/09/2022,Banco de Talentos,Presencial
Vivo Digital,Banco de Talentos - Dados/BI/Analytics,Sao Paulo - SP,13/06/2022,Banco de Talentos,Presencial
Infotec Brasil,Analista Desenvolvedor BI SR (Banco de Talentos) -SP,Rio de Jan... - RJ,30/03/2022,Banco de Talentos,Presencial
Brivia,Analista de BI (Web Analytics),Sao Paulo - SP,04/06/2021,Banco de Talentos,Remoto
Globalsys Solucoes em TI,Banco de Talentos - Analista de Dados/ Analista de BI ou Cientista de Dados,Nao informado,04/06/2021,Banco de Talentos,Remoto
